nome_squadra,numero_cella_x,numero_cella_y,frequenza_eventi,frequenza_passaggi_accurati,frequenza_tiri,frequenza_falli_subiti
Croatia,0,0,0.02875399361022364,0.016317016317016316,0.0,0.0
Croatia,0,1,0.01810436634717785,0.018648018648018648,0.0,0.0
Croatia,0,2,0.013844515441959531,0.006993006993006993,0.0,0.0
Croatia,0,3,0.013844515441959531,0.02097902097902098,0.0,0.0
Croatia,0,4,0.01703940362087327,0.004662004662004662,0.0,0.0
Croatia,1,0,0.04472843450479233,0.030303030303030304,0.0,0.23076923076923078
Croatia,1,1,0.05005324813631523,0.05827505827505827,0.0,0.0
Croatia,1,2,0.043663471778487756,0.053613053613053616,0.0,0.07692307692307693
Croatia,1,3,0.06602768903088392,0.09557109557109557,0.0,0.0
Croatia,1,4,0.07028753993610223,0.06526806526806526,0.0,0.23076923076923078
Croatia,2,0,0.04579339723109691,0.046620046620046623,0.0,0.07692307692307693
Croatia,2,1,0.0308839190628328,0.039627039627039624,0.0,0.0
Croatia,2,2,0.05005324813631523,0.08624708624708624,0.0,0.07692307692307693
Croatia,2,3,0.04153354632587859,0.06526806526806526,0.0,0.0
Croatia,2,4,0.04046858359957402,0.04195804195804196,0.0,0.0
Croatia,3,0,0.059637912673056445,0.053613053613053616,0.0,0.07692307692307693
Croatia,3,1,0.04579339723109691,0.06293706293706294,0.14285714285714285,0.07692307692307693
Croatia,3,2,0.03194888178913738,0.039627039627039624,0.07142857142857142,0.15384615384615385
Croatia,3,3,0.0670926517571885,0.08857808857808858,0.07142857142857142,0.0
Croatia,3,4,0.07135250266240682,0.06526806526806526,0.0,0.0
Croatia,4,0,0.03407880724174654,0.018648018648018648,0.0,0.0
Croatia,4,1,0.029818956336528223,0.0,0.35714285714285715,0.0
Croatia,4,2,0.025559105431309903,0.004662004662004662,0.2857142857142857,0.0
Croatia,4,3,0.009584664536741214,0.0,0.07142857142857142,0.0
Croatia,4,4,0.05005324813631523,0.016317016317016316,0.0,0.0
France,0,0,0.07072368421052631,0.03225806451612903,0.0,0.0
France,0,1,0.02631578947368421,0.03225806451612903,0.0,0.0
France,0,2,0.049342105263157895,0.016129032258064516,0.0,0.07692307692307693
France,0,3,0.039473684210526314,0.016129032258064516,0.0,0.0
France,0,4,0.027960526315789474,0.005376344086021506,0.0,0.07692307692307693
France,1,0,0.08223684210526316,0.10215053763440861,0.0,0.0
France,1,1,0.06907894736842106,0.10215053763440861,0.0,0.15384615384615385
France,1,2,0.039473684210526314,0.04838709677419355,0.0,0.0
France,1,3,0.054276315789473686,0.0913978494623656,0.0,0.0
France,1,4,0.05592105263157895,0.04838709677419355,0.0,0.0
France,2,0,0.049342105263157895,0.04838709677419355,0.0,0.07692307692307693
France,2,1,0.03782894736842105,0.0913978494623656,0.0,0.15384615384615385
France,2,2,0.03289473684210526,0.053763440860215055,0.0,0.0
France,2,3,0.027960526315789474,0.03763440860215054,0.0,0.0
France,2,4,0.049342105263157895,0.07526881720430108,0.0,0.15384615384615385
France,3,0,0.0625,0.05913978494623656,0.0,0.07692307692307693
France,3,1,0.023026315789473683,0.010752688172043012,0.0,0.0
France,3,2,0.03289473684210526,0.021505376344086023,0.14285714285714285,0.0
France,3,3,0.04111842105263158,0.03763440860215054,0.2857142857142857,0.07692307692307693
France,3,4,0.046052631578947366,0.03763440860215054,0.0,0.07692307692307693
France,4,0,0.011513157894736841,0.005376344086021506,0.0,0.0
France,4,1,0.008223684210526315,0.0,0.14285714285714285,0.0
France,4,2,0.011513157894736841,0.0,0.2857142857142857,0.0
France,4,3,0.02138157894736842,0.016129032258064516,0.14285714285714285,0.07692307692307693
France,4,4,0.029605263157894735,0.010752688172043012,0.0,0.0
